p,n,0.0,-0.2,-0.25,-0.3,-0.35,Dist,Y
150.0,300.0,0.074,0.5125,0.7375,0.8825,0.959,Exp,0.5
300.0,600.0,0.0655,0.962,1.0,1.0,1.0,Exp,0.5
450.0,900.0,0.0595,0.9995,1.0,1.0,1.0,Exp,0.5
600.0,1200.0,0.048,1.0,1.0,1.0,1.0,Exp,0.5
150.0,150.0,0.093,0.1895,0.2325,0.2745,0.29,Exp,1.0
300.0,300.0,0.0595,0.341,0.5145,0.704,0.8225,Exp,1.0
450.0,450.0,0.0585,0.581,0.829,0.9585,0.9935,Exp,1.0
600.0,600.0,0.06,0.798,0.9735,0.9985,1.0,Exp,1.0
150.0,100.0,0.0875,0.113,0.126,0.127,0.117,Exp,1.5
300.0,200.0,0.065,0.181,0.242,0.2995,0.3445,Exp,1.5
450.0,300.0,0.061,0.2625,0.395,0.5425,0.662,Exp,1.5
600.0,400.0,0.063,0.3775,0.5915,0.783,0.8945,Exp,1.5
150.0,300.0,0.092,0.384,0.548,0.6875,0.7585,ChiSq,0.5
300.0,600.0,0.0675,0.844,0.982,0.999,1.0,ChiSq,0.5
450.0,900.0,0.072,0.995,1.0,1.0,1.0,ChiSq,0.5
600.0,1200.0,0.0575,1.0,1.0,1.0,1.0,ChiSq,0.5
150.0,150.0,0.09,0.1465,0.162,0.16,0.1415,ChiSq,1.0
300.0,300.0,0.0705,0.2495,0.353,0.457,0.5095,ChiSq,1.0
450.0,450.0,0.058,0.4265,0.654,0.819,0.896,ChiSq,1.0
600.0,600.0,0.059,0.6225,0.872,0.971,0.9955,ChiSq,1.0
150.0,100.0,0.085,0.0995,0.096,0.082,0.053,ChiSq,1.5
300.0,200.0,0.073,0.1335,0.1575,0.172,0.159,ChiSq,1.5
450.0,300.0,0.0565,0.1885,0.2525,0.321,0.3545,ChiSq,1.5
600.0,400.0,0.0605,0.274,0.4135,0.546,0.6525,ChiSq,1.5
