p,n,1.0,3.0,3.5,4.0,4.5,Dist,Y
150.0,300.0,0.074,0.83,0.9165,0.9555,0.974,Exp,0.5
300.0,600.0,0.0655,0.9585,0.995,1.0,1.0,Exp,0.5
450.0,900.0,0.0595,0.989,0.999,0.9995,1.0,Exp,0.5
600.0,1200.0,0.048,0.994,1.0,1.0,1.0,Exp,0.5
150.0,150.0,0.093,0.3895,0.503,0.602,0.668,Exp,1.0
300.0,300.0,0.0595,0.482,0.6855,0.8195,0.8845,Exp,1.0
450.0,450.0,0.0585,0.5605,0.797,0.9145,0.9635,Exp,1.0
600.0,600.0,0.06,0.604,0.857,0.9555,0.984,Exp,1.0
150.0,100.0,0.0875,0.2355,0.32,0.3865,0.437,Exp,1.5
300.0,200.0,0.065,0.2795,0.4125,0.549,0.6385,Exp,1.5
450.0,300.0,0.061,0.2815,0.4615,0.62,0.7465,Exp,1.5
600.0,400.0,0.063,0.2955,0.5165,0.709,0.823,Exp,1.5
150.0,300.0,0.092,0.7675,0.8825,0.934,0.9675,ChiSq,0.5
300.0,600.0,0.0675,0.916,0.9805,0.9945,0.998,ChiSq,0.5
450.0,900.0,0.072,0.966,0.997,0.9995,1.0,ChiSq,0.5
600.0,1200.0,0.0575,0.984,0.9995,1.0,1.0,ChiSq,0.5
150.0,150.0,0.09,0.4165,0.5405,0.6255,0.6855,ChiSq,1.0
300.0,300.0,0.0705,0.4705,0.647,0.7645,0.841,ChiSq,1.0
450.0,450.0,0.058,0.57,0.777,0.884,0.925,ChiSq,1.0
600.0,600.0,0.059,0.5855,0.803,0.9245,0.9705,ChiSq,1.0
150.0,100.0,0.085,0.265,0.3445,0.4235,0.485,ChiSq,1.5
300.0,200.0,0.073,0.2905,0.433,0.546,0.6455,ChiSq,1.5
450.0,300.0,0.0565,0.3295,0.5025,0.6375,0.747,ChiSq,1.5
600.0,400.0,0.0605,0.334,0.5235,0.699,0.804,ChiSq,1.5
