p,n,power
100,240,0.0
100,242,0.0
100,244,0.0
100,246,0.0
100,248,0.0
100,250,0.04
100,252,0.065
100,254,0.24
100,256,0.5
100,258,0.68
100,260,0.845
100,262,0.95
100,264,0.995
100,266,0.995
100,268,1.0
100,270,1.0
100,272,1.0
100,274,1.0
100,276,1.0
100,278,1.0
100,280,1.0
100,282,1.0
100,284,1.0
100,286,1.0
100,288,1.0
100,290,1.0
100,292,1.0
100,294,1.0
100,296,1.0
100,298,1.0
100,300,1.0
100,302,1.0
100,304,1.0
100,306,1.0
100,308,1.0
100,310,1.0
100,312,1.0
100,314,1.0
100,316,1.0
100,318,1.0
100,320,1.0
100,322,1.0
100,324,1.0
100,326,1.0
100,328,1.0
100,330,1.0
101,240,0.0
101,242,0.0
101,244,0.0
101,246,0.0
101,248,0.005
101,250,0.005
101,252,0.04
101,254,0.085
101,256,0.185
101,258,0.385
101,260,0.595
101,262,0.785
101,264,0.915
101,266,0.975
101,268,1.0
101,270,1.0
101,272,1.0
101,274,1.0
101,276,1.0
101,278,1.0
101,280,1.0
101,282,1.0
101,284,1.0
101,286,1.0
101,288,1.0
101,290,1.0
101,292,1.0
101,294,1.0
101,296,1.0
101,298,1.0
101,300,1.0
101,302,1.0
101,304,1.0
101,306,1.0
101,308,1.0
101,310,1.0
101,312,1.0
101,314,1.0
101,316,1.0
101,318,1.0
101,320,1.0
101,322,1.0
101,324,1.0
101,326,1.0
101,328,1.0
101,330,1.0
102,240,0.0
102,242,0.0
102,244,0.0
102,246,0.0
102,248,0.0
102,250,0.0
102,252,0.01
102,254,0.005
102,256,0.045
102,258,0.135
102,260,0.3
102,262,0.555
102,264,0.775
102,266,0.92
102,268,0.975
102,270,1.0
102,272,1.0
102,274,1.0
102,276,1.0
102,278,1.0
102,280,1.0
102,282,1.0
102,284,1.0
102,286,1.0
102,288,1.0
102,290,1.0
102,292,1.0
102,294,1.0
102,296,1.0
102,298,1.0
102,300,1.0
102,302,1.0
102,304,1.0
102,306,1.0
102,308,1.0
102,310,1.0
102,312,1.0
102,314,1.0
102,316,1.0
102,318,1.0
102,320,1.0
102,322,1.0
102,324,1.0
102,326,1.0
102,328,1.0
102,330,1.0
103,240,0.0
103,242,0.0
103,244,0.0
103,246,0.0
103,248,0.0
103,250,0.0
103,252,0.0
103,254,0.005
