p,n,0.0,-0.2,-0.25,-0.3,-0.35,Dist,Y
150.0,300.0,0.0625,1.0,1.0,1.0,1.0,Exp,0.5
300.0,600.0,0.0425,1.0,1.0,1.0,1.0,Exp,0.5
450.0,900.0,0.0575,1.0,1.0,1.0,1.0,Exp,0.5
600.0,1200.0,0.0495,1.0,1.0,1.0,1.0,Exp,0.5
150.0,150.0,0.0535,1.0,1.0,1.0,1.0,Exp,1.0
300.0,300.0,0.05,1.0,1.0,1.0,1.0,Exp,1.0
450.0,450.0,0.054,1.0,1.0,1.0,1.0,Exp,1.0
600.0,600.0,0.061,1.0,1.0,1.0,1.0,Exp,1.0
150.0,100.0,0.0495,1.0,1.0,1.0,1.0,Exp,1.5
300.0,200.0,0.049,1.0,1.0,1.0,1.0,Exp,1.5
450.0,300.0,0.0475,1.0,1.0,1.0,1.0,Exp,1.5
600.0,400.0,0.0585,1.0,1.0,1.0,1.0,Exp,1.5
150.0,300.0,0.053,1.0,1.0,1.0,1.0,ChiSq,0.5
300.0,600.0,0.0525,1.0,1.0,1.0,1.0,ChiSq,0.5
450.0,900.0,0.049,1.0,1.0,1.0,1.0,ChiSq,0.5
600.0,1200.0,0.0545,1.0,1.0,1.0,1.0,ChiSq,0.5
150.0,150.0,0.0565,1.0,1.0,1.0,1.0,ChiSq,1.0
300.0,300.0,0.0535,1.0,1.0,1.0,1.0,ChiSq,1.0
450.0,450.0,0.0505,1.0,1.0,1.0,1.0,ChiSq,1.0
600.0,600.0,0.047,1.0,1.0,1.0,1.0,ChiSq,1.0
150.0,100.0,0.05,1.0,1.0,1.0,1.0,ChiSq,1.5
300.0,200.0,0.047,1.0,1.0,1.0,1.0,ChiSq,1.5
450.0,300.0,0.0495,1.0,1.0,1.0,1.0,ChiSq,1.5
600.0,400.0,0.044,1.0,1.0,1.0,1.0,ChiSq,1.5
