"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Emp","(75,100)","-5.79","15.53","-24.19","888.99","-97.31","46790.03"
"2","Emp","(150,200)","-5.96","16.74","-24.39","920.63","-96.17","45375.75"
"3","Emp","(225,300)","-5.94","16.6","-23.75","882.92","-90.59","42487.68"
"4","Emp","(300,400)","-5.88","17.51","-22.68","912.28","-81.2","42922.06"
"5","Theo","","-6","18","-23","918","-83","41806.12"
"6","Emp","(100,100)","-5.92","20.81","-26.15","1563.02","-102.73","107846.18"
"7","Emp","(200,200)","-5.98","23.01","-25.15","1639.95","-90.25","105467.93"
"8","Emp","(300,300)","-5.81","21.82","-23.16","1526.34","-74.54","96864.11"
"9","Emp","(400,400)","-6.13","23.18","-25.41","1599.96","-90.31","99475.82"
"10","Theo","","-6","24","-24","1600","-80","96000"
