"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","Emp","(75,100)","-2.01","2.63","-4","36.54","-7.82","463.32"
"2","Emp","(150,200)","-1.99","2.93","-3.85","39.73","-7.23","485.05"
"3","Emp","(225,300)","-1.93","3.03","-3.57","40.3","-6.32","483.76"
"4","Emp","(300,400)","-2.04","2.95","-3.98","38.78","-7.67","460.01"
"5","Theo","","-2","3","-3.75","39","-6.81","457"
"6","Emp","(100,100)","-1.91","3.61","-3.83","64.09","-6.56","1064.75"
"7","Emp","(200,200)","-1.96","3.89","-3.96","68.37","-6.91","1090.14"
"8","Emp","(300,300)","-2.01","3.97","-4.06","68.7","-7.16","1082.72"
"9","Emp","(400,400)","-1.98","3.71","-3.99","64.22","-7.07","1010.09"
"10","Theo","","-2","4","-4","68","-7","1050"
