"","V1","V2","V3","V4","V5"
"1","","(p,n)","(-3+2i,-1+1i)","(0+2i,0+1i)","(3+2i,5+1i)"
"2","Emp","(75,100)","0+0.0304i","-0.1194-0.0078i","0.089+0.014i"
"3","Emp","(150,200)","0.0004+0.0326i","-0.1413-0.0156i","0.117+0.0284i"
"4","Emp","(225,300)","0+0.0335i","-0.1518-0.0109i","0.1372+0.0294i"
"5","Emp","(300,400)","0.0002+0.0356i","-0.1469-0.0102i","0.1273+0.036i"
"6","Theo","","0.0006+0.0363i","-0.1544-0.0037i","0.1491+0.0524i"
"7","Emp","(125,100)","0.0025+0.0349i","-0.1235+0.0066i","0.0931-0.0373i"
"8","Emp","(250,200)","0.0032+0.035i","-0.1363+0.0147i","0.0991-0.0406i"
"9","Emp","(375,300)","0.0026+0.0336i","-0.1385+0.0148i","0.0955-0.0209i"
"10","Emp","(500,400)","0.0038+0.0374i","-0.1328+0.0142i","0.1138-0.0297i"
"11","Theo","","0.0035+0.0388i","-0.1462+0.0149i","0.1099-0.0323i"
