"","V1","V2","V3","V4","V5"
"1","","(p,n)","-3+2i","0+2i","3+2i"
"2","Emp","(75,100)","0.1405+0.1628i","-0.2758+0.5734i","-0.55-0.2732i"
"3","Emp","(150,200)","0.1459+0.1697i","-0.2934+0.6013i","-0.5761-0.3089i"
"4","Emp","(225,300)","0.1465+0.1712i","-0.3033+0.6009i","-0.5705-0.3212i"
"5","Emp","(300,400)","0.1463+0.172i","-0.3054+0.6065i","-0.5631-0.3465i"
"6","Theo","","0.15+0.1768i","-0.3148+0.6225i","-0.5792-0.3764i"
"7","Emp","(125,100)","0.1366+0.1473i","-0.1941+0.5435i","-0.5458-0.1545i"
"8","Emp","(250,200)","0.1395+0.1518i","-0.2013+0.5568i","-0.5847-0.1787i"
"9","Emp","(375,300)","0.1382+0.1511i","-0.2037+0.5625i","-0.5747-0.1934i"
"10","Emp","(500,400)","0.1434+0.1553i","-0.2078+0.5716i","-0.5751-0.1933i"
"11","Theo","","0.1432+0.1569i","-0.216+0.5826i","-0.6025-0.2149i"
