"","V1","V2","V3","V4","V5"
"1","","(p,n)","(-3+2i,-1+1i)","(0+2i,0+1i)","(3+2i,5+1i)"
"2","Emp","(75,100)","-0.0038+0.0147i","-0.0725-0.0503i","-0.04+0.0035i"
"3","Emp","(150,200)","-0.0041+0.0163i","-0.0781-0.056i","-0.0418+0.0022i"
"4","Emp","(225,300)","-0.0043+0.0171i","-0.0822-0.0567i","-0.0446+0.0011i"
"5","Emp","(300,400)","-0.0043+0.0168i","-0.0773-0.052i","-0.0465-0.0003i"
"6","Theo","","-0.0044+0.0172i","-0.0838-0.0591i","-0.0448-0.0002i"
"7","Emp","(125,100)","-0.0032+0.0197i","-0.0884-0.0397i","-0.0483+0.0765i"
"8","Emp","(250,200)","-0.0032+0.0196i","-0.0863-0.0428i","-0.0545+0.0763i"
"9","Emp","(375,300)","-0.0036+0.0212i","-0.0948-0.0407i","-0.0566+0.0708i"
"10","Emp","(500,400)","-0.0032+0.02i","-0.0965-0.0424i","-0.0594+0.0742i"
"11","Theo","","-0.0034+0.0206i","-0.0976-0.0435i","-0.0624+0.0743i"
