,V1,V2,V3,V4,V5
1,,"(p,n)",-3+2i,0+2i,3+2i
2,Emp,"-75,100",0.0586+0.0857i,-0.2505+0.2371i,-0.0373-0.249i
3,Emp,"-150,200",0.0582+0.0858i,-0.2575+0.2483i,-0.0311-0.2526i
4,Emp,"-225,300",0.0567+0.0844i,-0.262+0.2478i,-0.0336-0.2566i
5,Emp,"-300,400",0.0596+0.0878i,-0.2609+0.2448i,-0.0352-0.2528i
6,Theo,,0.0587+0.0872i,-0.2642+0.2445i,-0.029-0.2529i
7,Emp,"-125,100",0.0547+0.0766i,-0.2088+0.2555i,-0.1069-0.2671i
8,Emp,"-250,200",0.0572+0.0793i,-0.2116+0.2538i,-0.1109-0.2757i
9,Emp,"-375,300",0.0587+0.0808i,-0.2139+0.2479i,-0.1074-0.2752i
10,Emp,"-500,400",0.0559+0.0778i,-0.2165+0.2566i,-0.0949-0.2733i
11,Theo,,0.0578+0.0804i,-0.2181+0.254i,-0.0919-0.2764i
